id,source,description,price,currency,area,beds,showers,address,url,lat,lon
akwu,loopghana,,1139,GHS,211 ,3 ,3 ,Abokobi,https://listings.loopghana.com/listing/akwu,5.58418693556929,-0.164616249668143
aksy,loopghana,,1200,GHS,98 ,2 ,2 ,Ofankor,https://listings.loopghana.com/listing/aksy,5.66347482642514,-0.265439791828157
aksc,loopghana,,1300,GHS,99 ,2 ,2 ,Tebibianor,https://listings.loopghana.com/listing/aksc,5.58609985434241,-0.140338746984071
ako7,loopghana,,1400,GHS,97 ,2 ,2 ,East Airport,https://listings.loopghana.com/listing/ako7,5.62677345373383,-0.154177239411297
akpy,loopghana,,1500,GHS,101 ,2 ,2 ,Dzorwulu,https://listings.loopghana.com/listing/akpy,5.61444458882909,-0.195782176006674
akw4,loopghana,,6955,GHS,211 ,4 ,4 ,Abelemkpe,https://listings.loopghana.com/listing/akw4,5.60870382840828,-0.216422080993652
akow,loopghana,,380000,GHS,211 ,4 ,4 ,Shiashie,https://listings.loopghana.com/listing/akow,5.63395378297952,-0.173043514880419
akuc,loopghana,,1782000,GHS,1 ,3 ,3 ,Adjiringanor,https://listings.loopghana.com/listing/akuc,5.64503813328724,-0.138788223266602
akqr,loopghana,,4590000,GHS,211 ,6 ,6 ,Dansoman,https://listings.loopghana.com/listing/akqr,5.54280576527855,-0.256263550262474
aj0m,loopghana,,10800,GHS,211 ,5 ,5 ,Ogbojo,https://listings.loopghana.com/listing/aj0m,5.66624749333323,-0.145334452913971
aj1y,loopghana,,11880,GHS,95 ,2 ,2 ,Cantonments,https://listings.loopghana.com/listing/aj1y,5.57671047496404,-0.178612346032651
aiy1,loopghana,,13500,GHS,211 ,4 ,4 ,East Legon,https://listings.loopghana.com/listing/aiy1,5.63578527610347,-0.161425768602385
aiy0,loopghana,,392700,GHS,211 ,3 ,3 ,Oyarifa,https://listings.loopghana.com/listing/aiy0,5.75558077121166,-0.174361171114697
aj19,loopghana,,1545300,GHS,211 ,2 ,2 ,Airport Bypass,https://listings.loopghana.com/listing/aj19,5.60116870221788,-0.175730024536961
aja7,loopghana,,2052000,GHS,211 ,4 ,4 ,Tse Addo,https://listings.loopghana.com/listing/aja7,5.58146967530221,-0.143357604513767
aj3h,loopghana,,7560000,GHS,211 ,5 ,5 ,Airport Hills,https://listings.loopghana.com/listing/aj3h,5.6167294718447,-0.144245852917493
ah9w,loopghana,,440000,GHS,214 ,3 ,3 ,Oyarifa,https://listings.loopghana.com/listing/ah9w,5.75564971089379,-0.174072491350898
ahcm,loopghana,,570000,GHS,113 ,3 ,3 ,East Legon,https://listings.loopghana.com/listing/ahcm,5.63566901303664,-0.162144845934222
ag2g,loopghana,,1800,$,90 ,1 ,1 ,1 Cantonment City,https://listings.loopghana.com/listing/ag2g,5.57691576054416,-0.178738168549216
ag15,loopghana,,85000,$,32 ,1 ,1 ,Hammond Court (studio A),https://listings.loopghana.com/listing/ag15,5.57678191581855,-0.179451252117929
ag1f,loopghana,,129950,$,41 ,1 ,1 ,Hammond Court (1br)a,https://listings.loopghana.com/listing/ag1f,5.5768463531984,-0.175501276614568
ag1o,loopghana,,149950,$,49 ,1 ,1 ,Hammond Court (1br ) B,https://listings.loopghana.com/listing/ag1o,5.57701720203473,-0.178689888786948
afzq,loopghana,,265950,$,90 ,2 ,3 ,Hammond Court (2br B),https://listings.loopghana.com/listing/afzq,5.5768463531984,-0.178378752541221
ag08,loopghana,,645000,$,286 ,5 ,6 ,Hammond Court (4.5BR B),https://listings.loopghana.com/listing/ag08,5.57617043148059,-0.177029926205478
ag01,loopghana,,645000,$,292 ,4 ,5 ,Hammond Court (4.5 Br)a,https://listings.loopghana.com/listing/ag01,5.57691042151785,-0.179473093819297
adli,loopghana,,2100,GHS,112 ,2 ,2 ,Tse Ado,https://listings.loopghana.com/listing/adli,5.5862653615411,-0.140676705319947
adl2,loopghana,,6500,$,312 ,4 ,4 ,Airport Residential Area,https://listings.loopghana.com/listing/adl2,5.60612785620127,-0.186172524330345
ac85,loopghana,,600,$,123 ,4 ,5 ,Oyarifa,https://listings.loopghana.com/listing/ac85,5.75583385026824,-0.173945220664109
ac8k,loopghana,,600,$,123 ,3 ,4 ,Oyarifa,https://listings.loopghana.com/listing/ac8k,5.75550857317276,-0.173886442555954
acai,loopghana,,34000,$,100 ,,,Off  the Accra-Tema Motorway,https://listings.loopghana.com/listing/acai,5.73469590349633,0.0302866856909532
